objectid,ctyua19cd,ctyua19nm,st_areasha,01/03/2020,02/03/2020,03/03/2020,04/03/2020,05/03/2020,06/03/2020,07/03/2020,08/03/2020,09/03/2020,10/03/2020,11/03/2020,12/03/2020,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020,07/04/2020,08/04/2020,09/04/2020,10/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020,18/04/2020,19/04/2020,20/04/2020,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,03/05/2020,04/05/2020,05/05/2020,06/05/2020,07/05/2020,08/05/2020,09/05/2020,10/05/2020,11/05/2020,12/05/2020,13/05/2020,14/05/2020,15/05/2020,16/05/2020,17/05/2020,18/05/2020,19/05/2020,20/05/2020,21/05/2020,22/05/2020,23/05/2020,24/05/2020,25/05/2020,26/05/2020,27/05/2020,28/05/2020,29/05/2020,30/05/2020,31/05/2020,01/06/2020,02/06/2020,03/06/2020,04/06/2020,05/06/2020,06/06/2020,07/06/2020,08/06/2020,09/06/2020,10/06/2020,11/06/2020,12/06/2020,13/06/2020,14/06/2020,15/06/2020,16/06/2020,17/06/2020,18/06/2020,19/06/2020,20/06/2020,21/06/2020,22/06/2020,23/06/2020,24/06/2020,25/06/2020,26/06/2020,27/06/2020,28/06/2020,29/06/2020,30/06/2020,01/07/2020,02/07/2020,03/07/2020,04/07/2020,05/07/2020,06/07/2020,07/07/2020,08/07/2020,09/07/2020,10/07/2020,11/07/2020,12/07/2020,13/07/2020,14/07/2020,15/07/2020,16/07/2020,17/07/2020,18/07/2020,19/07/2020,20/07/2020,21/07/2020,22/07/2020,23/07/2020,24/07/2020,25/07/2020,26/07/2020,27/07/2020,28/07/2020,29/07/2020,30/07/2020,31/07/2020,01/08/2020,02/08/2020,03/08/2020,04/08/2020,05/08/2020,06/08/2020,07/08/2020,08/08/2020,09/08/2020,10/08/2020,11/08/2020,12/08/2020,13/08/2020,14/08/2020,15/08/2020,16/08/2020,17/08/2020,18/08/2020,19/08/2020,20/08/2020,21/08/2020,22/08/2020,23/08/2020,24/08/2020,25/08/2020,26/08/2020,27/08/2020,28/08/2020,29/08/2020,30/08/2020,31/08/2020,01/09/2020,02/09/2020,03/09/2020,04/09/2020,05/09/2020,06/09/2020,07/09/2020,08/09/2020,09/09/2020,10/09/2020,11/09/2020,12/09/2020,13/09/2020,14/09/2020,15/09/2020,16/09/2020,17/09/2020,18/09/2020,19/09/2020,20/09/2020,21/09/2020,22/09/2020,23/09/2020,24/09/2020,25/09/2020,26/09/2020,27/09/2020,28/09/2020,29/09/2020,30/09/2020,01/10/2020,02/10/2020,03/10/2020,04/10/2020,05/10/2020,06/10/2020,07/10/2020,08/10/2020,09/10/2020,10/10/2020,11/10/2020,12/10/2020,13/10/2020,14/10/2020,15/10/2020,16/10/2020,17/10/2020,18/10/2020,19/10/2020,20/10/2020,21/10/2020,22/10/2020,23/10/2020,24/10/2020,25/10/2020,26/10/2020,27/10/2020,28/10/2020,29/10/2020,30/10/2020,31/10/2020,01/11/2020,02/11/2020,03/11/2020,04/11/2020,05/11/2020,06/11/2020,07/11/2020,08/11/2020,09/11/2020,10/11/2020,11/11/2020,12/11/2020,13/11/2020,14/11/2020,15/11/2020,16/11/2020,17/11/2020,18/11/2020,19/11/2020,20/11/2020,21/11/2020,22/11/2020,Upper Tier Local Authority District code (2019),IMD - Average rank,IMD - Rank of average rank,IMD - Average score,IMD - Rank of average score,IMD - Proportion of LSOAs in most deprived 10% nationally,IMD - Rank of proportion of LSOAs in most deprived 10% nationally,IMD 2019 - Extent,IMD 2019 - Rank of extent,IMD 2019 - Local concentration,IMD 2019 - Rank of local concentration,Residents,Households,Dwellings,Household_Spaces,Aged_16plus,Aged_16_to_74,Employed_16_to_74,Household_Residents_16plus,Residents_3plus,Males,Females,Household_Resident,Communal_Resident,Age_0_to_19,Age_20_to_29,Age_30_to_44,Age_45_to_64,Age_65_to_84,Age_85plus,Mean_age,Median_age,White_British_and_Irish,White_other,Mixed,Indian,Pakistani,Bangladeshi,Chinese,Other_Asian,Black,Other_ethnicity,Christian,Other_religion,No_religion,Religion_not_stated,CoB_United_Kingdom,CoB_Ireland,CoB_EU_Member_pre_2001,CoB_EU_member_pre_2011,CoB_Other,Little_or_no_English,Single,Married_couple,Cohabiting_couple,Same_sex_couple,Legal_couple_living_apart,Separated,Divorced,Widowed,Lone_person,Couple_no_kids,Couple_dependent_kids,Lone_parent_dependent_children,All_fulltime_students,Other_household_type,Households_with_0_residents,Detached,Semidetached,Terraced,Flats,Caravan_or_other,Owned,Social_rented,Private_rented,Living_rent_free,Crowded_housing,Long_term_ill,Standardised_illness_ratio,Very_good_health,Good_health,Fair_health,Bad_health,Very_bad_health,Provides_unpaid_care,No_qualifications,GCSE,A_level,Degree_plus,Cars_0,Cars_1,Cars_2plus,Work_from_home,Public_Transport,Private_Transport,Other_Transport,Employee_Parttime,Employee_Fulltime,Self_employed,Unemployed,Fulltime_student,Retired,Student_Econ_Inactive,Looking_after_home_or_family,Longterm_sick_or_disabled,Economically_inactive_Other,Never_worked,Longterm_unemployed,Higher_manager_prof,Lower_manager_prof,Intermediate_occupations,Small_employer_self_employed,Lower_supervisory_technical,Semi_routine_occupations,Routine_occupations,Long_unemp_never_worked,Agriculture_forestry_and_fishing,Mining_and_quarrying,Manufacturing,Electricity_gas_air_conditioning,Water_and_waste,Construction,Motor_vehicles,Transport_and_storage,Accommodation_and_food_service,Information_and_communication,Financial_and_insurance,Real_estate,Scientific_and_technical,Administrative_and_support,Public_administration_and_defence,Education,Human_health_and_social_work
75,E08000019,Sheffield,367862436.8,1,0,1,1,2,0,3,3,0,6,0,2,4,6,6,14,13,18,26,25,37,44,59,60,48,45,28,65,61,75,109,63,53,43,42,65,63,49,49,51,58,54,37,70,50,78,49,40,68,55,64,45,68,29,60,74,49,66,43,70,62,42,50,51,26,40,43,32,32,25,22,30,32,29,26,28,24,11,9,23,33,23,19,18,26,19,40,21,29,13,17,20,15,33,21,25,11,18,22,25,20,23,27,20,30,27,18,25,17,22,14,14,13,16,16,27,21,24,32,12,21,28,17,12,7,6,9,8,13,18,20,9,4,10,7,15,12,9,14,10,20,14,10,20,19,19,11,7,19,18,11,20,7,3,3,8,10,9,21,18,16,18,29,24,8,16,12,14,2,19,4,9,13,7,13,6,7,10,10,22,17,38,19,22,19,27,31,45,38,35,65,57,43,35,43,37,37,19,38,61,54,61,49,86,76,71,99,99,118,122,147,253,216,381,463,515,316,392,492,458,608,407,279,340,272,449,391,405,348,344,350,318,487,484,437,363,334,303,264,428,392,330,354,414,258,270,350,336,308,324,272,235,250,339,255,258,201,231,203,182,264,255,205,170,142,83,3,E08000019,18742.72,66,27.06,44,0.2377,24,0.3401,37,32028.49,27,552698,229928,236811,237387,452014,411004,244318,438452,532164,272661,280037,539064,13634,106479,94939,110267,124978,73925,11773,70393.72528,70011,449728,12816,13289,5868,21990,3326,7398,5803,20082,12398,290299,52299,172516,37584,488176,1879,5311,6658,50674,9232,134683,180424,52171,3876,5974,8269,25830,27225,73315,57344,58484,16760,5666,35119,7459,33901,86386,64830,52207,63,135008,56917,35760,2243,5140,103715,195353.5816,258250,184343,75733,26703,7669,57373,109841,133855,71594,116007,75968,97721,56239,9030,48339,150443,36506,56868,140933,30021,19626,22791,52941,44212,16682,18418,8512,4013,7641,40432,79142,52605,32503,29290,67487,53885,30679,420,175,22721,688,1684,18544,37244,10214,14624,7927,8706,3476,13167,9932,13309,29847,39820
76,E08000021,Newcastle upon Tyne,113438916,,1,0,1,1,0,1,0,0,1,0,0,2,2,4,0,6,3,5,8,9,5,17,20,19,19,20,12,30,19,34,41,31,32,23,24,39,40,30,41,29,20,17,20,31,26,32,29,36,28,28,20,35,24,32,14,15,16,33,21,41,18,21,11,15,23,20,24,10,5,10,9,19,12,10,10,10,7,6,6,10,7,7,4,4,2,26,15,7,10,6,5,4,2,5,4,9,0,0,5,5,3,1,0,2,10,4,6,3,2,1,0,0,2,4,2,2,0,1,0,1,4,1,0,1,0,1,1,3,0,4,1,0,1,2,2,4,3,1,0,0,1,1,0,0,0,0,0,0,0,4,4,1,2,1,2,1,3,7,1,0,2,5,12,10,14,2,2,2,7,11,7,12,6,1,2,2,8,7,7,13,8,7,4,15,16,25,28,43,31,24,29,21,39,36,35,23,26,49,63,46,100,96,139,150,107,146,141,187,292,231,327,398,324,418,391,436,467,417,468,360,307,229,169,154,236,194,196,152,142,88,120,168,205,170,151,114,105,122,177,137,113,115,126,116,115,176,186,167,174,190,154,155,255,193,243,160,211,143,125,190,191,164,129,93,65,6,E08000021,19772.69,54,29.79,32,0.2571,19,0.3706,31,32527.85,10,280177,117153,121761,121894,232203,212864,119335,223319,269980,140226,139951,271212,8965,53406,58960,51972,63085,33237,5482,34554.71446,33816.5,231346,8187,4279,5072,6364,4692,6037,4942,5160,4098,158138,25055,79345,17639,242598,942,3680,3792,29165,4755,82140,80004,23563,2066,3115,4709,14168,13554,40337,24188,28087,8943,4706,19835,4741,9447,41054,32049,39316,28,58444,34850,22318,1541,1970,52577,101285.5137,133933,89096,38018,14793,4337,25810,54885,63223,39659,63073,48853,45938,22362,3988,31125,64070,20152,25835,69811,13132,10652,14418,24571,29253,8868,11509,4815,2236,4119,21175,37362,25980,13135,14269,31436,28139,17617,153,231,7315,691,537,7613,17779,5520,10314,4470,3817,1704,7307,5732,8517,12662,18794
77,E08000022,North Tyneside,82296083.78,,,,,1,0,0,0,1,0,0,0,3,1,0,1,1,4,3,3,0,2,4,4,4,6,11,17,7,3,19,35,14,13,24,18,32,26,18,16,8,16,7,15,13,16,21,24,21,17,11,14,25,14,20,8,8,15,12,12,27,9,6,7,6,12,16,10,26,9,8,13,5,18,10,8,0,11,4,4,12,7,5,6,0,5,4,6,1,7,0,2,3,1,9,3,2,3,1,1,3,4,4,5,1,3,3,1,2,1,3,0,0,1,3,1,0,1,0,0,1,0,2,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,2,0,0,0,1,1,0,0,1,0,0,0,2,0,1,2,1,0,1,3,2,7,0,1,3,1,0,4,3,1,0,1,1,2,3,4,3,3,3,3,2,7,9,9,10,11,17,12,19,13,18,12,20,13,8,15,23,20,30,44,28,38,41,36,56,41,49,55,28,66,59,45,56,73,63,76,76,110,83,78,69,40,38,75,76,69,68,51,45,55,82,94,107,80,83,70,53,113,83,91,98,91,76,72,140,100,81,101,117,96,82,173,136,155,141,118,85,68,110,98,102,82,73,53,6,E08000022,16825.05,82,22.279,77,0.0916,61,0.232,66,30943.76,60,200801,91295,94528,94566,165088,147889,96026,163435,193700,96883,103918,199142,1659,34112,23319,41644,55778,30583,4712,28818.59397,29440.5,191532,2493,1815,1095,319,686,869,846,734,412,128185,3416,56408,12792,192855,400,1503,892,5151,658,38774,74834,19230,1302,1387,3824,12220,11864,30960,23866,23495,7233,27,12947,3271,9674,39436,23569,21848,39,59510,19677,11300,808,587,41405,80513.27305,90031,66955,30156,10638,3021,22208,39157,58404,19623,41734,28865,40879,21551,3238,19619,61791,11378,21815,61349,9635,7304,4139,23497,5310,5048,7354,2438,1039,2965,14642,34805,26607,10571,12722,26225,21290,9002,127,393,7883,671,553,7054,13861,4270,4992,3917,3196,1267,4986,4125,10539,9789,14087
78,E08000023,South Tyneside,64434490.67,,,,,,,,,,,,,,,1,1,0,1,1,2,2,0,2,5,4,2,7,1,5,14,13,9,13,18,12,15,23,19,19,12,18,12,9,16,27,26,30,26,17,15,26,19,28,21,32,16,11,27,24,25,27,15,5,13,10,13,15,9,17,7,12,14,30,15,2,11,5,7,11,2,12,7,7,3,4,2,4,10,1,2,3,1,3,1,1,3,0,2,0,1,1,3,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,2,0,1,0,3,1,1,2,0,0,0,0,1,3,7,4,1,2,1,6,9,13,8,15,12,7,15,9,10,12,13,21,12,15,17,25,27,31,17,15,19,54,29,41,45,49,61,41,41,46,59,43,48,42,56,45,71,57,63,57,48,59,59,54,68,43,39,35,66,49,52,61,50,34,37,62,73,59,47,41,26,42,61,57,56,48,72,44,39,90,102,68,79,76,79,72,123,90,106,104,72,60,66,81,93,102,60,61,55,7,E08000023,22573.29,22,31.509,23,0.2451,21,0.4508,21,31513.31,47,148127,67167,69693,69707,122200,108981,64622,120807,143183,71560,76567,146729,1398,25908,18348,27436,42031,23266,3587,22139.13975,22653,141126,973,1325,643,434,1534,235,465,420,972,104090,4174,31247,8616,143163,190,728,423,3623,558,32293,51826,12352,719,1223,2927,9741,9726,23459,15413,17252,6428,86,10957,2540,5598,28697,20818,14568,26,38630,21204,6758,575,614,34481,69166.2007,63345,48861,23700,9394,2827,16740,34189,45078,14679,23514,25830,27639,13698,1567,13499,40785,8771,15480,40838,5948,7145,3234,17355,4611,4696,7234,2440,1240,2868,7249,20574,16630,7271,10812,21768,20700,9523,65,516,7406,520,438,5328,9634,3613,3385,1620,1763,882,2542,3009,5705,5738,9616
79,E08000024,Sunderland,137392639.1,,,,,,,1,0,0,0,0,0,0,0,2,2,0,1,3,3,5,2,6,18,10,11,9,4,11,29,46,44,37,48,46,49,60,49,51,47,37,47,29,34,30,57,30,42,54,42,61,26,36,33,31,27,15,28,39,49,39,35,18,13,32,20,14,14,10,38,9,13,14,10,8,8,10,4,9,11,6,6,5,8,8,2,2,4,3,7,3,2,3,3,1,4,3,0,2,2,4,2,0,0,1,0,0,0,2,2,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,1,3,1,1,0,0,2,0,1,4,1,0,0,0,2,1,0,0,1,0,0,1,2,0,2,3,2,3,2,3,2,6,5,0,1,1,6,8,2,1,1,0,4,5,4,1,2,5,2,0,4,2,7,4,5,3,8,12,59,34,56,36,44,48,41,31,23,22,33,29,33,51,55,75,71,85,89,87,74,137,80,67,78,114,110,105,141,134,116,80,119,151,134,107,101,87,113,225,130,129,98,131,74,96,164,148,152,130,154,88,103,152,133,128,146,138,78,92,167,200,158,168,151,127,136,220,226,171,145,152,97,96,185,117,124,108,94,64,10,E08000024,21993.93,27,30.586,28,0.227,28,0.396,27,31950.32,28,275506,119758,123367,123528,227314,205552,121511,223722,266379,133953,141553,271884,3622,48520,36654,52854,76552,41631,5162,38736.14517,39455.5,261817,2465,1778,1736,669,2075,1536,1320,1273,837,193642,6208,60358,15298,264201,489,1436,1347,8033,1229,59521,99764,24850,1405,1831,4554,15337,16460,38096,29251,31047,9907,677,20687,3770,14006,53627,38523,17283,89,71918,32399,14552,889,1356,64552,125807.6066,117365,90557,43951,18155,5478,32531,66036,83594,27289,41337,42094,49564,28100,3071,19888,84042,14510,29186,75899,11477,12016,6889,32215,10778,8666,14084,4342,2349,4678,12418,36933,31773,13942,18952,39839,39412,16683,132,441,14065,2138,983,9345,19613,6325,6813,2825,4684,2028,3841,6028,9471,10845,16641
80,E08000025,Birmingham,267777386.4,1,1,0,0,1,0,0,1,1,4,6,7,14,7,12,15,24,32,35,52,30,26,64,67,61,92,70,79,108,122,131,107,102,81,87,72,63,77,77,49,60,33,46,37,71,78,116,97,109,64,59,87,107,91,73,65,50,56,44,75,78,79,39,53,27,55,40,47,56,37,36,41,38,48,36,42,32,19,27,31,29,22,27,22,23,16,32,30,26,18,18,17,14,16,17,19,20,14,9,21,20,7,9,18,7,16,28,20,18,15,9,8,14,17,19,11,10,9,5,8,7,13,8,19,9,7,7,12,6,9,7,11,22,13,13,24,29,20,26,16,21,22,21,24,26,23,19,17,23,23,26,24,20,16,12,29,33,34,59,31,33,43,64,73,59,46,60,29,24,47,34,38,59,45,30,32,43,50,47,50,71,57,36,53,92,134,155,222,154,120,174,148,151,157,152,134,90,118,128,181,214,243,259,275,258,273,306,287,232,212,169,244,322,388,330,346,270,254,386,402,387,419,338,306,266,421,464,500,417,427,288,282,531,547,555,479,447,328,317,542,469,541,506,539,411,335,722,624,568,541,587,504,437,782,753,693,633,640,461,382,725,728,634,540,506,304,7,E08000025,25319.55,6,38.067,7,0.4131,7,0.5792,4,32208.16,22,1073045,410736,423633,425095,828363,760252,423691,806895,1023386,527806,545239,1051366,21679,235838,179515,222658,222461,119145,19068,116331.2107,112510.5,592238,29398,47605,64621,144627,32532,12712,31148,96360,21804,494358,301780,206821,70086,834732,16085,13032,16532,192664,47005,271446,316370,71866,6590,19130,22339,49544,49610,131200,71572,119112,41471,4840,84012,14359,46449,147412,125101,105999,134,230556,99592,73405,7183,16996,197901,332718.6153,488568,363904,148782,54105,17686,107380,233835,241779,107913,190335,147112,169909,93715,14402,97210,260201,51878,96186,251668,52825,54114,33428,81213,74102,48771,39917,28028,13444,22140,62528,131318,95584,56067,52749,122174,100781,102528,419,81,39056,1962,2709,25686,66500,23981,26715,12873,16916,6275,23868,22365,20528,51328,62912
81,E08000026,Coventry,98624088.19,,,,,1,1,0,1,0,0,2,2,0,0,0,6,4,4,5,1,9,6,11,19,16,19,13,18,17,23,29,27,20,23,18,10,26,22,10,25,15,15,22,18,13,22,24,20,15,8,30,34,24,31,19,17,13,12,14,22,31,36,18,24,8,24,17,27,26,11,17,31,18,12,10,16,9,7,9,21,12,12,7,7,10,6,3,5,4,15,9,0,3,4,2,8,3,1,3,2,0,5,7,3,3,2,3,6,3,5,1,4,1,1,1,0,0,1,1,1,3,1,1,2,1,3,4,2,3,1,1,2,1,0,1,5,4,3,5,7,0,4,2,5,8,6,7,6,10,5,6,14,6,7,6,8,5,9,10,11,11,3,12,11,8,10,27,11,6,6,7,5,7,3,7,9,9,10,10,12,13,6,5,10,11,17,20,12,7,18,32,16,20,16,24,16,12,23,18,19,28,33,35,38,47,25,46,41,37,23,39,51,36,60,60,66,54,69,73,82,105,111,93,82,76,96,101,95,116,89,65,70,120,121,126,116,78,86,58,113,95,119,110,103,103,67,140,138,133,112,143,109,113,191,181,179,133,145,120,80,156,99,95,96,95,47,1,E08000026,19432.08,58,25.613,60,0.1436,48,0.2669,59,31409.97,51,316960,128592,132891,133696,254106,231871,137560,244912,303130,157621,159339,307730,9230,64549,55458,63574,68727,39558,6692,38098.80528,37167.5,218493,15536,8230,27751,9510,2951,3728,7658,17764,5339,170090,53647,72896,20327,249727,5821,4206,10573,46633,9242,75851,100657,24516,1707,4405,5661,16368,15747,40148,26602,35740,12396,2823,23279,5104,13788,36805,57450,25429,224,78630,21914,26503,1545,3008,56247,102507.7619,145948,109815,42006,14765,4426,32101,60799,79815,36184,58566,41361,54083,33148,4397,19129,93585,20449,29800,84624,14340,12532,12449,27790,24219,10049,10487,5581,2394,4872,18426,40174,31774,15957,18956,38601,34962,19221,259,69,15880,1045,1114,7444,24019,8959,7793,4486,5181,1734,6226,7161,6330,16370,17195
82,E08000027,Dudley,97939618.57,,,,,,,1,0,2,1,0,4,1,2,4,3,2,6,10,11,6,9,17,13,17,24,14,16,24,28,22,18,30,16,28,21,25,16,14,11,27,19,9,15,7,25,44,26,48,11,16,19,20,28,28,30,13,10,19,30,26,39,28,15,11,11,12,15,13,6,9,8,19,4,18,10,8,20,14,8,4,12,3,5,5,7,6,5,3,13,2,0,5,3,3,5,7,16,1,1,2,1,2,2,0,5,1,3,2,3,0,1,3,1,1,1,2,3,1,0,1,1,1,1,4,0,2,0,1,0,1,2,2,1,1,0,2,0,0,0,1,1,2,1,3,3,0,7,1,3,4,1,0,0,2,0,0,0,3,12,0,3,2,1,1,5,5,4,0,3,3,3,4,3,5,3,3,6,1,4,7,5,9,4,12,8,15,11,12,15,16,16,13,20,7,12,10,15,12,13,25,28,17,25,27,19,30,27,34,21,22,35,28,42,29,33,38,24,47,36,40,55,52,32,46,69,64,75,69,83,73,51,107,129,124,122,129,91,100,177,166,191,200,177,148,108,306,240,218,229,205,198,217,332,275,278,257,276,217,157,269,234,219,186,157,106,14,E08000027,18193.88,74,24.103,67,0.1095,57,0.2708,57,30994.05,58,312925,129867,133908,134022,253421,226726,141998,251130,301573,153819,159106,310398,2527,57269,37088,61670,80767,51299,6898,41281.14188,41954.5,278220,3387,5758,5737,10339,397,876,1593,4671,1947,204320,20270,68835,19500,296308,914,1372,1412,12919,2850,57779,123727,28291,1486,2468,4699,14897,17783,36652,35368,35476,8700,17,22354,4155,28835,64870,21636,18599,82,90011,25719,12004,2133,1948,63428,112228.0442,132825,111905,47828,15918,4449,37974,75980,87545,30056,48584,29896,54662,45309,4931,15174,108324,13569,33987,86654,17079,12064,5746,36619,9636,10355,10060,4526,2035,5401,18416,45450,36329,20519,20080,44381,36979,16231,137,63,19978,1563,1260,12996,25433,6283,5930,3387,4348,1716,6354,6094,8696,14033,17966
83,E08000028,Sandwell,85588622.62,,,,,,,,,,,2,4,2,3,4,5,2,7,18,6,7,13,22,17,17,14,19,18,30,35,35,30,37,30,19,25,28,31,31,21,27,11,15,22,17,29,37,21,40,23,30,27,22,31,38,17,16,36,35,28,16,23,9,17,9,19,17,21,11,8,15,13,14,16,17,18,13,8,20,14,15,12,13,6,15,6,15,10,11,5,4,5,5,8,4,11,6,5,7,8,6,5,14,7,11,8,1,7,3,5,2,4,1,5,3,0,2,5,0,2,5,0,1,2,1,1,3,1,7,5,8,4,0,3,13,12,8,16,18,4,7,25,13,13,16,18,10,12,9,10,8,11,10,6,7,12,10,11,11,17,11,11,16,15,9,15,8,10,6,17,5,5,18,11,7,7,21,17,10,15,11,14,2,7,13,17,17,34,25,30,36,43,39,34,22,27,15,20,32,44,53,50,60,65,54,64,60,71,37,55,38,57,51,70,51,65,39,38,74,67,74,77,82,45,62,118,95,103,106,102,92,92,151,164,161,131,147,126,99,201,171,181,193,225,130,127,264,252,199,230,210,175,193,284,286,262,254,230,182,154,248,265,212,179,181,103,1,E08000028,25276.49,8,34.884,11,0.1989,36,0.5349,9,31705.52,40,308063,121498,127072,127196,241829,219508,128630,239729,294251,151592,156471,305928,2135,62222,43878,64814,70114,40656,6185,35844.29629,35346,204867,10604,10199,31400,13952,6588,839,6479,18357,4778,170075,61538,57716,18734,258993,1482,1784,8075,37729,12541,65208,104101,25581,1858,4799,6109,14614,17459,35935,24923,35452,10915,92,25096,5698,14273,55270,33357,24225,71,69836,33439,15674,2549,3630,64403,109415.0465,129182,107081,48087,18171,5542,33530,85040,76717,25245,37151,41197,51922,28379,2846,24371,87116,14297,29779,81339,13220,16049,6266,28582,11728,12859,12679,7007,3406,6937,11577,33462,28683,15824,19329,47042,43238,25147,132,30,18741,1201,1414,9761,23348,8499,6475,2417,4009,1803,4564,6795,6076,11140,16806
84,E08000029,Solihull,178289391.9,,,,,,,,,,,1,0,0,0,0,2,1,1,5,4,4,3,9,15,16,17,17,29,13,14,17,15,25,20,24,11,13,17,14,19,24,13,7,10,20,20,13,11,21,9,26,14,23,36,7,11,14,13,6,11,24,12,8,6,18,7,8,8,17,8,5,7,3,11,4,0,4,1,8,3,4,8,5,2,1,3,3,6,1,6,0,0,2,2,1,1,2,0,0,3,1,0,0,1,1,1,2,1,2,2,1,0,2,8,1,2,1,2,0,0,2,4,0,0,2,0,0,1,1,4,0,2,1,0,8,1,3,6,0,2,0,0,3,3,0,1,3,1,2,5,2,2,1,2,2,2,3,6,5,1,1,0,2,3,2,6,3,2,0,3,5,2,3,1,3,1,4,4,0,6,4,1,2,4,15,25,28,27,25,22,23,30,22,30,29,14,9,21,22,17,27,19,32,22,29,27,27,31,35,28,24,42,34,32,34,38,29,35,59,41,54,55,43,38,43,60,69,64,73,86,44,63,90,85,81,78,71,49,40,88,94,73,90,96,72,48,92,96,95,106,88,56,77,125,142,114,91,78,81,56,113,84,85,84,73,43,2,E08000029,12510.31,120,17.37,108,0.1194,54,0.1708,79,31136.96,55,206674,86056,88229,88250,167493,148360,97941,165913,199863,100352,106322,205087,1587,38072,22029,38418,56848,34095,5501,27628.71549,28470.5,181183,3061,4404,7098,3413,633,906,1511,3239,1226,135572,13787,44187,13128,191288,2645,1385,1051,10305,906,39325,84394,14856,848,1592,3227,9812,11859,25102,22511,24008,6136,16,14419,2194,24984,33110,13928,16089,139,64086,12834,8502,634,735,36927,65560.87274,98197,70683,27056,8241,2497,24113,38035,55438,19597,47783,16992,33983,35081,5208,13754,71185,7794,21701,59212,13673,6304,4218,24019,6496,5506,4949,2282,983,2497,21439,37387,25976,14116,11287,23094,15836,7879,200,32,9837,1435,795,7621,15257,4435,4749,4261,4997,1520,6969,5230,4764,10211,11448
85,E08000030,Walsall,103989562.7,1,0,0,0,0,0,0,0,0,1,5,7,2,2,4,1,4,5,8,9,12,10,19,16,16,19,21,32,21,27,29,36,48,27,26,18,33,32,14,33,18,9,13,20,20,23,32,34,24,14,36,41,33,27,50,29,26,30,39,18,29,36,8,10,5,18,7,11,14,7,9,11,13,9,10,9,4,10,7,5,12,7,7,6,2,8,6,6,6,5,3,2,8,1,4,9,0,2,2,4,2,7,1,2,3,0,5,3,1,2,0,1,1,3,0,0,5,0,0,1,4,1,3,1,2,0,1,3,2,2,4,4,7,4,10,5,5,5,2,4,2,7,3,1,4,3,3,2,7,1,4,3,6,2,2,4,4,2,4,1,0,2,9,11,9,6,7,2,4,4,6,5,16,3,2,1,2,2,6,8,7,1,3,5,15,8,9,18,6,10,23,21,14,16,18,11,9,19,18,26,28,36,32,31,37,26,37,35,32,28,28,39,42,53,62,50,49,38,64,61,71,60,86,57,58,77,84,78,103,100,87,76,142,159,152,137,142,98,111,168,157,146,128,152,114,92,194,183,145,156,134,132,150,209,190,202,171,158,115,127,197,153,123,132,123,72,4,E08000030,22152.64,26,31.555,21,0.2635,18,0.4844,14,31611.53,43,269323,107822,110943,111038,213123,191974,112270,211229,258245,132319,137004,267397,1926,53306,35194,52593,65444,40418,5397,32678.15352,32758.5,208419,4050,7224,16502,14289,5194,993,4044,6369,2239,158971,40302,53876,16174,242688,931,1226,2681,21797,6229,51859,98252,23771,1435,3427,4489,12727,15269,30771,26044,30441,8388,59,20507,3216,20187,46779,24739,19115,218,67866,25967,12569,1420,2497,55902,94832.11467,113525,94650,41653,14968,4527,30632,71839,70098,23022,35989,31044,45181,31597,3393,14049,82529,12299,26934,67743,13991,13006,5131,28865,9544,11220,9974,5566,2690,5844,12807,32981,25478,16698,17156,39055,34086,20518,126,61,16284,554,1275,9783,21624,6714,5228,1941,3457,1633,3997,5060,5292,10827,13980
