regioncd,regionnm,ctyua19cd,ctyua19nm,Area Type,LE_Male,LE_Female,LEInequality_Male,LEInequality_Female,Mortality_all,Mortality_Cardio,Mortality_Cancer,Diabetes,Dementia,Smoking,Physical_Activity,Obesity,Employment,Homelessness,LowIncome_Child,ExcessWinterDeaths,Travel_Walk,Travel_Cycle,AHAH,AirPollution,FuelPoverty,EmploymentHealth_Gap,JobDensity,JSO,EconomicInactivity,IMD,WFP,Ethnic_Minority,OlderPersons,CareAdmissions,FluVaccine,NEET,SocialIsolation
E92000001,England,E09000012,Hackney,County & UA (4/19-3/20),79.5667,83.6708,6.3,4.5,370.8627,93.7,139.4,61.1992,71.2,14.4443,67.7105,51.6542,71.8,0.8896,24.7,25.1553,38.4215,13.5001,94.4913,12.2296,12.2,14.621,0.7,8.222,23.7,32.526,91.7318,43,7.7163,459.6,64.4193,5.0033,40.3
E92000001,England,E09000013,Hammersmith and Fulham,County & UA (4/19-3/20),79.7325,84.5568,6.6,4.4,336.7805,68.2,124.4,56.4303,63.2,10.3335,74.2364,48.8553,77.9,0.4915,20.6,26.9841,35.4567,11.0783,94.3267,11.97,11.3,10.462,1.19,4.1254,17.1,22.27,91.1701,31.2,11.0018,387.9,58.3237,1.55,36.7
E92000001,England,E09000014,Haringey,County & UA (4/19-3/20),80.7799,84.9662,8,3.2,303.3747,80.7,118.7,64.5073,67.4,14.8978,68.6986,48.6556,72.9,0.6412,21.3,19.7917,39.8826,4.7933,72.6956,11.8506,14.4,20.6731,0.48,6.6635,22.8,27.956,95.9526,30.7,10.42,475.7,62.554,14.8732,37.1
E92000001,England,E09000015,Harrow,County & UA (4/19-3/20),83.2523,85.9879,7.8,5.4,231.4258,53,94.8,89.1369,63.5,10.3632,64.5335,54.7815,77,0.5389,12.9,20,30.1029,1.4434,12.058,10.7963,11.7,3.4228,0.62,2.2448,19.8,15.031,93.7707,52.1,15.9213,451.5,70.5299,2.1498,38.9
E92000001,England,E09000016,Havering,County & UA (4/19-3/20),79.7123,84.0045,7,6.8,319.0609,70.8,136.3,76.5191,60.9,13.1834,63.7206,63.0648,76.1,1.6989,16.5,26.7512,33.2164,0.3292,23.7925,10.8672,9,13.539,0.64,4.1089,19,16.789,98.415,10.9,17.996,600.8,69.9971,3.1328,45.6
E92000001,England,E09000017,Hillingdon,County & UA (4/19-3/20),80.4337,84.0276,7.2,5.5,310.7223,72.4,122.4,82.6173,65.5,11.7999,61.5511,59.7618,73.9,0.422,16,39.478,27.1927,1.6283,18.6477,10.841,10.1,7.9856,1.09,2.6553,23.1,18.223,95.7326,40.2,13.4894,627.6,68.239,6.9102,45.2
E92000001,England,E09000018,Hounslow,County & UA (4/19-3/20),80.0335,83.7659,5.1,5.7,318.6552,79.9,114.9,84.0647,67.4,14.2493,63.3282,57.5342,74.8,0.1296,13.8,9.2907,32.5204,5.4169,34.8789,11.3254,11.6,9.4857,1.04,1.0196,19.9,21.487,95.6572,56.3,12.3124,325.1,65.8589,3.369,37.6
E92000001,England,E09000019,Islington,County & UA (4/19-3/20),79.6358,83.272,9.2,4.8,365.3171,82.6,146.2,63.7317,84.6,12.3545,75.309,55.7844,76.7,0.9815,30.6,31.5417,40.1172,11.7591,100,12.2764,11,13.7115,1.4,5.7846,20.7,27.535,93.0343,33.4,8.8606,352.3,64.8533,5.5327,44.2
E92000001,England,E09000020,Kensington and Chelsea,County & UA (4/19-3/20),83.3475,86.8161,14.5,10.1,245.653,43.5,102.6,54.3051,68.7,14.9359,69.9962,49.4147,61.7,1.2468,20.5,13.8277,41.4945,5.2616,100,12.2872,12.4,6.4932,1.56,3.0612,34.4,21.526,74.5068,33.2,16.0438,212.4,58.4088,5.7876,36.1
E92000001,England,E09000021,Kingston upon Thames,County & UA (4/19-3/20),81.4891,84.9319,7.4,5.7,257.1512,58.1,109.1,75.7097,67,9.2199,70.9975,57.3717,73.3,0.2386,11.7,30.0448,38.0715,6.0734,32.8271,10.841,10.4,7.1836,0.86,2.3485,22.2,11.381,94.2733,24.9,13.9403,372.1,66.9263,2.7366,50.6
E92000001,England,E09000022,Lambeth,County & UA (4/19-3/20),79.1952,83.7495,5.4,4.7,375.1141,92.9,140.8,58.8173,80.3,13.363,73.0369,50.1655,78,0.687,23.4,31.3013,41.5536,8.366,79.8934,11.9831,11.2,13.6557,0.78,6.614,16.8,25.422,96.471,32.2,8.4347,520.1,62.7022,10.0293,40.5
E92000001,England,E09000023,Lewisham,County & UA (4/19-3/20),79.2255,83.8481,8.4,4.7,356.8071,86,134,64.6777,74.9,14.5324,73.0887,59.1443,76.9,0.5993,22.6,29.4979,39.4516,4.9979,66.0954,11.5995,12.1,13.388,0.41,6.1008,18.7,26.661,96.3449,32.8,9.4781,572.3,63.2127,4.5162,39.2
E92000001,England,E09000024,Merton,County & UA (4/19-3/20),81.0306,84.3393,6.8,5.1,280.6025,67.3,113,75.099,68.9,13.5473,66.7954,55.0968,81.7,0.553,13.1,37.9221,35.5729,2.4187,21.5912,11.3891,11.2,0.7192,0.76,3.5454,15.1,14.649,98.3348,32.2,12.814,323,63.1743,2.3439,40.8
E92000001,England,E09000025,Newham,County & UA (4/19-3/20),80.2209,83.2945,6.6,5.5,351.3756,95,126.1,80.8857,67.5,13.8136,56.2413,57.4,69.8,1.6712,20.1,32.2929,33.6792,2.7282,91.5407,12.508,16.1,15.1,0.51,4.9033,26.4,29.577,86.8504,64,7.7104,396.5,66.2845,5.2489,39.5
E92000001,England,E09000026,Redbridge,County & UA (4/19-3/20),81.4509,84.786,7.3,5.3,278.4792,65.3,106.7,79.1686,70.2,13.3662,58.8666,59.6856,68.7,1.4762,14.7,24.8134,27.7943,1.1954,53.2064,11.8818,12.7,17.4429,0.5,2.7503,26.6,17.203,93.9193,56.9,12.7291,239.3,67.9558,3.3477,53.5
E92000001,England,E09000027,Richmond upon Thames,County & UA (4/19-3/20),82.5184,86.4422,6.5,2.6,239.8655,48.2,107.3,55.5356,70.1,7.9997,76.1264,53.5937,77.2,,8.5,15.6533,43.3549,9.8608,13.9948,10.9588,9.9,3.7091,0.86,2.7805,19.8,9.425,96.1332,14.3,15.853,325.2,67.5782,2.8629,47.9
E92000001,England,E09000028,Southwark,County & UA (4/19-3/20),79.2949,84.6307,7.4,5.6,354.0785,76.8,135.7,66.2072,75,15.5585,69.6383,51.4878,77.7,2.6697,23.2,10.158,35.2817,16.5217,87.4243,11.9708,9.9,13.1434,1.37,2.9732,17.8,25.811,92.3882,42.4,8.5092,769.9,66.257,9.94,33.9
E92000001,England,E09000029,Sutton,County & UA (4/19-3/20),80.5713,83.8839,5.5,4.5,291.0628,56.8,120.3,83.1752,75.6,15.8264,71.2928,62.9454,79,1.0849,9.8,36.2162,27.5112,0.6162,8.4751,10.7115,8.4,21.6034,0.65,1.1261,17.2,13.987,97.2744,25.1,15.3245,375.6,70.9176,3.4152,44.3
E92000001,England,E09000030,Tower Hamlets,County & UA (4/19-3/20),79.3352,83.2116,11.4,4.8,361.1412,94.3,123.7,80.5314,80.2,15.0987,70.0225,56.9332,73,0.1166,30.3,21.2735,42.3813,7.1602,96.4411,12.1461,9.5,22.0626,1.4,4.9327,22.5,27.913,82.1334,53.4,6.4232,396.4,70.3756,6.8032,42.1
E92000001,England,E09000031,Waltham Forest,County & UA (4/19-3/20),80.5719,84.519,5.8,4.9,318.0893,85.5,120.4,65.8135,68.5,16.1506,69.7336,52.8679,78.7,2.3517,19.4,22.4057,37.3219,3.8966,80.1201,12.2608,14.2,17.756,0.47,5.7208,19.5,25.209,92.4828,39.3,10.8238,565.7,64.7634,3.0865,41.8
E92000001,England,E09000032,Wandsworth,County & UA (4/19-3/20),80.4998,84.0087,5.7,4.4,315.3477,75.7,125.6,60.8639,79.6,13.4655,79.6189,52.5323,80.3,0.4256,17.2,31.5508,45.2689,7.9212,63.06,11.5958,10.1,13.8468,0.64,3.5689,15.4,16.611,95.4716,24.8,9.593,393.5,65.6538,8.8253,42.6
E92000001,England,E09000033,Westminster,County & UA (4/19-3/20),83.9024,86.5449,13.5,7.4,240.5297,54.8,96.7,57.7835,74.5,10.4713,70.4216,48.6336,68.9,0.7152,27.3,18.9341,47.4985,5.0269,99.1756,12.3216,11.7,6.843,4.36,3.8403,28.2,20.339,72.6884,40.4,12.486,312.6,61.8123,1.9783,39.6
E92000001,England,E10000002,Buckinghamshire,County & UA (4/19-3/20),81.7484,85.0745,6.8,6.3,255.374,50.7,114.4,,64,11.3406,70.971,61.0824,80,0.3264,9.5,30.3164,18.5687,2.2327,19.7646,10.02,7,0.3921,0.87,1.8695,17.5,10.052,97.0437,12.8,,323.6,72.5381,7.1605,45.9
E92000001,England,E10000003,Cambridgeshire,County & UA (4/19-3/20),81.1591,84.2881,7.5,7,278.8785,57.8,117,76.2846,60,13.1963,68.0051,62.1241,80.9,0.5726,11.6,32.3169,19.6544,11.9582,23.1223,9.4492,9.5,7.3982,0.94,1.1366,16.6,13.858,96.5104,5.5,19.1688,330.7,73.6026,3.2697,51.4
E92000001,England,E10000006,Cumbria,County & UA (4/19-3/20),79.4473,82.9002,9.5,7.9,334.0259,74.8,129.3,78.0228,65.9,15.2748,67.534,61.6918,79.4,0.4443,12.2,27.9817,16.7868,1.7179,17.8291,5.4197,13.3,8.1882,0.91,2.8286,18.6,21.261,96.3353,1.1,24.4714,632.4,76.115,3.764,53.6
E92000001,England,E10000007,Derbyshire,County & UA (4/19-3/20),79.4979,82.9525,7.8,7.1,320.3985,65.9,131.7,83.1205,69.8,12.6021,69.5055,66.1768,78,0.5332,15.3,30.754,16.4563,1.1639,7.5868,7.9,10.6,14.8894,0.7,2.3947,19.2,18.392,96.8354,3.1,21.7961,696.6,76.2982,3.5365,47.6
E92000001,England,E10000008,Devon,County & UA (4/19-3/20),80.6169,84.1294,6,4.2,284.2305,59.2,119.3,71.026,59.7,13.4952,74.8448,60.6972,80.2,0.4391,12.5,33.4676,22.0248,2.8274,26.502,6.643,10.7,7.5355,0.91,1.4389,17.6,16.607,97.7875,3,25.4496,558.2,73.017,5.5747,44.7
